 Name,Quanity,Price ,URL
PCBA,2,"$22.43 USD
",https://cdn.hackclub.com/019d49a3-e783-73cc-a725-de099b814ca5/image.png
PCB,5,$3.10 USD,https://cdn.hackclub.com/019d49a4-aed7-7826-9672-c4ae538c63bb/image.png
Top Case,1,N/A,Print Legion
Bottom Case,1,N/A,Print Legion
M3x16mm Screws,20,$5.24 USD,https://www.aliexpress.us/item/2255799840356543.html?spm=a2g0o.productlist.main.1.6198HRFEHRFEMp&algo_pvid=3b7d1d5f-3144-4022-9cac-2117b5fc010d&algo_exp_id=3b7d1d5f-3144-4022-9cac-2117b5fc010d-0&pdp_ext_f=%7B%22order%22%3A%22944%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.47%210.99%21%21%212.47%210.99%21%4021030a6217750571912937576ea4c0%2110000000060275794%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A84a28b25%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836318&curPageLogUid=6z5PmkBHGzmO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000026671295%7C_p_origin_prod%3A
M3 Nuts,25,$3.56 USD,https://www.aliexpress.us/item/3256806526708887.html?spm=a2g0o.productlist.main.1.24634eceEx2tVu&algo_pvid=c4c38052-8e05-494c-bb7b-f22ace04beda&algo_exp_id=c4c38052-8e05-494c-bb7b-f22ace04beda-0&pdp_ext_f=%7B%22order%22%3A%222683%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.47%211.28%21%21%211.47%211.28%21%402103212517750575958065300eabcf%2112000038073775626%21sea%21US%216753589142%21X%211%210%21n_tag%3A-29919%3Bd%3A84a28b25%3Bm03_new_user%3A-29895&curPageLogUid=SEnJSoO84TR9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006713023639%7C_p_origin_prod%3A
USB A to USB Micro,1,$3.80 USD,https://www.aliexpress.us/item/3256807215998582.html?spm=a2g0o.productlist.main.5.3776ZP9DZP9DW5&algo_pvid=d17a7345-1e9a-43aa-965b-530b1be8f06a&algo_exp_id=d17a7345-1e9a-43aa-965b-530b1be8f06a-4&pdp_ext_f=%7B%22order%22%3A%22974%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.59%211.59%21%21%211.59%211.59%21%402103110517750579649861449ec4a1%2112000040594108295%21sea%21US%216753589142%21X%211%210%21n_tag%3A-29919%3Bd%3A84a28b25%3Bm03_new_user%3A-29895&curPageLogUid=ZCrxnIMdyHw8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007402313334%7C_p_origin_prod%3A
USB A To USB C,1,$4.30 USD,https://www.aliexpress.us/item/3256809056608568.html?spm=a2g0o.productlist.main.7.679e47c8Q3t8A3&algo_pvid=0b7111b5-829c-43d1-8b0d-e0689a38f4c6&algo_exp_id=0b7111b5-829c-43d1-8b0d-e0689a38f4c6-6&pdp_ext_f=%7B%22order%22%3A%222528%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.03%212.03%21%21%212.03%212.03%21%402103212517750580979981283eabd7%2112000048446008612%21sea%21US%216753589142%21X%211%210%21n_tag%3A-29919%3Bd%3A84a28b25%3Bm03_new_user%3A-29895&curPageLogUid=70SHK5rkgAMv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009242923320%7C_p_origin_prod%3A
USB C To USB C,1,$4.28 USD,https://www.aliexpress.us/item/3256806347706589.html?spm=a2g0o.productlist.main.16.3841307dbqyZAs&algo_pvid=29301305-6cb9-411a-8da2-bef081480686&algo_exp_id=29301305-6cb9-411a-8da2-bef081480686-13&pdp_ext_f=%7B%22order%22%3A%2225198%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.01%212.01%21%21%212.01%212.01%21%402101ee6617750578118491839ece62%2112000037557554489%21sea%21US%216753589142%21X%211%210%21n_tag%3A-29919%3Bd%3A84a28b25%3Bm03_new_user%3A-29895&curPageLogUid=iAaa1KLAdVDc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006534021341%7C_p_origin_prod%3A
,,,
Total Cost,$48.51,,
